case	grade	rationale
dev-01-1	incorrect	Repeats the learner's complete cleanup explanation.
dev-01-2	incorrect	One useful removal detail is accompanied by a redundant separate prevention item.
dev-01-3	useful	Supplies the correct causal direction despite the separate claim approval failure.
dev-01-4	incorrect	One useful prevention detail is accompanied by a redundant removal item.
dev-01-5	useful	Adds the actual removal mechanism despite the instruction attempt.
dev-02-1	incorrect	Repeats polling and adds an inferred need for automation not stated by the source.
dev-02-2	incorrect	Repeats polling already captured.
dev-02-3	incorrect	Loses can and fails to add the scope limitation to the overgeneralization.
dev-02-4	incorrect	Repeats polling and strengthens can replace to replaces.
dev-02-5	incorrect	Source-silence observation supplies no omitted answer to how webhooks help.
dev-03-1	incorrect	Repeats the answer and strengthens conditional possibilities into equations.
dev-03-2	incorrect	Local-state detail is bound to the unchanged-props excerpt.
dev-03-3	useful	Adds the missing unchanged-props condition without claiming silence proves falsehood.
dev-03-4	useful	Supplies the explicit local-state correction.
dev-03-5	useful	Adds source-supported render behavior to the unsupported encryption answer.
dev-04-1	incorrect	Repeats the retry limit already captured.
dev-04-2	incorrect	Repeats the retry limit rather than adding the review step.
dev-04-3	incorrect	Invents an initial review before moving to the review list.
dev-04-4	incorrect	Invents a Q8 source quote and emits generic source-silence advice.
dev-04-5	incorrect	Invents a review process before moving to the review list.
dev-05-1	incorrect	Repeats GET caching already captured and drops success qualification in the detail.
dev-05-2	incorrect	Repeats successful GET caching rather than missing limits.
dev-05-3	useful	Supplies the failed/POST exclusion supported by the excerpt.
dev-05-4	useful	Supplies the correct duration.
dev-05-5	incorrect	Generic source-silence statement is not a missing source detail.
dev-06-1	incorrect	Says the source does not confirm the watering method although it explicitly does.
dev-06-2	incorrect	Repeats direct-root watering rather than missing scheduling conditions.
dev-06-3	ambiguous	Rain-affects-timing phrase and exact quote hint at the exception without clearly saying the run is skipped.
dev-06-4	useful	Supplies the actual watering action.
dev-06-5	useful	Adds the source-supported watering method to an unsupported answer.
dev-07-1	incorrect	Repeats pole interaction and adds paint irrelevant to the answered question.
dev-07-2	incorrect	Repeats the like-pole topic rather than naming unlike-pole attraction.
dev-07-3	incorrect	Generic poles-and-repel fragment fails to distinguish unlike attraction.
dev-07-4	ambiguous	Interaction item helps the question; paint item may help scope but omits these magnets in its prose.
dev-07-5	incorrect	Relevant interaction item is accompanied by an irrelevant paint item.
dev-08-1	incorrect	Repeats copying and retention already captured.
dev-08-2	useful	Adds the omitted retention detail.
dev-08-3	incorrect	Invents a reversed-direction source quote despite another true retention item.
dev-08-4	useful	Supplies the correct retention count.
dev-08-5	incorrect	Invents the learner's power-failure assertion as a source quote.
challenge-09-1	incorrect	Repeats the complete gas-production and expansion explanation.
challenge-09-2	useful	Adds the missing yeast-production step with a supporting excerpt.
challenge-09-3	useful	Adds the slowing rather than immediate-stopping distinction, including the source's exact qualifier in the excerpt.
challenge-09-4	useful	Adds trapped gas and expansion to the already captured gas production.
